Variables,Type,Variables_name_ENG,Variables_name_KOR
SA_Name_CD_Year,0,Projecting Years,예측년도
SA_Name_CD_Year_list,1,CD_Year_list,CD_Year_list
SA_Name_CD_Year_selected,0,2000,2000
SA_Name_models,0,Model types,모델유형
SA_Name_models_list,1,SDM_models_list,SDM_models_list
SA_Name_models_selected,0,GLM,GLM
SA_Name_EMmodels,0,Ensemble,앙상블
SA_Name_models_run,0,Run,실행
SA_Name_models_out,0,Model types,모델유형
SA_Name_models_out_list,1,SDM_models_out_list,SDM_models_out_list
SA_Name_models_out_selected,0,GLM,GLM
SA_Name_CD_Models_out,0,Climate Models,기후모델
SA_Name_CD_Models_out_list,1,CD_Models_list,CD_Models_list
SA_Name_CD_Models_out_selected,0,KMA,KMA
SA_Name_CD_Scenarios_out,0,Climate Scenarios,기후시나리오
SA_Name_CD_Scenarios_out_list,1,CD_Scenarios_list,CD_Scenarios_list
SA_Name_CD_Scenarios_out_selected,0,RCP4.5,RCP4.5
SA_Name_CD_Year_out,0,Projecting Years,예측년도
SA_Name_CD_Year_out_list,1,CD_Year_list,CD_Year_list
SA_Name_CD_Year_out_selected,0,2000,2000
SA_Name_Group1_list,1,SA_Group1_list,SA_Group1_list
SA_Name_Group1_selected,0,Species,Species
SA_Name_Group2_list,1,SA_Group2_list,SA_Group2_list
SA_Name_Group2_selected,0,Species,Species
SA_Name_Group3_list,1,SA_Group3_list,SA_Group3_list
SA_Name_Group3_selected,0,Species,Species
SA_Name_MO_Dir,0,Input Folder,민감종평가 입력폴더
SA_Name_AO_Dir,0,Output Folder,민감종평가 결과폴더
HA_Name,0,Habitat Assessment,서식지 평가
HA_Name_Anlayis,0,Change Analysis,영향 평가
HA_Name_Out,0,Model Outputs,평가결과
HA_Name_Out_Species,0,Species Distribution,생물종 분포
HA_Name_Out_SR,0,Species Richness,생물종 풍부도
HA_Name_Out_SL,0,Species Loss,생물종 소실
HA_Name_Out_SS,0,Species Stay,생물종 잔존
HA_Name_Out_SG,0,Species Gain,생물종 유입
HA_Name_Out_VI,0,Habitat Vulnerability,서식지 취약성
HA_Name_Out_Map,0,Map,지도
